[15687199, 369121]
Loading pretrained model:models/backbones/pretrained/3x3resnet50-imagenet.pth


Nbr of trainable parameters: 50246080

Epoch 1 completed | Ls 0.7550 Lu 0.0077 Lw 0.0021 PW 0.0000 IoU_l 0.0250 IoU_ul 0.0000
Epoch 1 completed | Ls 0.6979 Lu 0.0073 Lw 0.0020 PW 0.0000 IoU_l 0.0260 IoU_ul 0.0000
Epoch 1 completed | Ls 0.6272 Lu 0.0070 Lw 0.0020 PW 0.0000 IoU_l 0.0280 IoU_ul 0.0000
Epoch 1 completed | Ls 0.5898 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.0280 IoU_ul 0.0000
Epoch 1 completed | Ls 0.5726 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0290 IoU_ul 0.0000
Epoch 1 completed | Ls 0.5653 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.0310 IoU_ul 0.0000
Epoch 1 completed | Ls 0.5443 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0320 IoU_ul 0.0000
Epoch 1 completed | Ls 0.5446 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0320 IoU_ul 0.0000
Epoch 1 completed | Ls 0.5176 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0350 IoU_ul 0.0000
Epoch 1 completed | Ls 0.4997 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.0370 IoU_ul 0.0000
Epoch 1 completed | Ls 0.4845 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.0370 IoU_ul 0.0000
Epoch 1 completed | Ls 0.4686 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.0370 IoU_ul 0.0000
Epoch 1 completed | Ls 0.4561 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0380 IoU_ul 0.0000
Epoch 1 completed | Ls 0.4424 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0390 IoU_ul 0.0000
Epoch 1 completed | Ls 0.4298 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0400 IoU_ul 0.0000
Epoch 1 completed | Ls 0.4195 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0410 IoU_ul 0.0000
Epoch 1 completed | Ls 0.4084 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.0430 IoU_ul 0.0000
Epoch 1 completed | Ls 0.4014 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.0440 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3925 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.0450 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3839 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.0460 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3768 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.0470 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3694 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.0480 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3621 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.0490 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3552 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.0500 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3489 Lu 0.0064 Lw 0.0020 PW 0.0000 IoU_l 0.0520 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3447 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0530 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3393 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0540 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3343 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0550 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3302 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0560 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3257 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0570 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3210 Lu 0.0063 Lw 0.0020 PW 0.0000 IoU_l 0.0570 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3164 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0590 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3120 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0600 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3089 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0610 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3051 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0620 IoU_ul 0.0000
Epoch 1 completed | Ls 0.3016 Lu 0.0062 Lw 0.0020 PW 0.0000 IoU_l 0.0620 IoU_ul 0.0000
